file_path,line_no,function_name,return_type,parameter_types,full_signature
include/AbilityKit/ability_runtime/start_options.h,187,OH_AbilityRuntime_SetStartOptionsWindowTop,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t windowTop","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsWindowTop(AbilityRuntime_StartOptions *,int32_t)"
include/AbilityKit/ability_runtime/start_options.h,239,OH_AbilityRuntime_SetStartOptionsWindowWidth,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,int32_t windowWidth","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsWindowWidth(AbilityRuntime_StartOptions *,int32_t)"
include/AbilityKit/ability_runtime/start_options.h,135,OH_AbilityRuntime_SetStartOptionsWithAnimation,AbilityRuntime_ErrorCode,"AbilityRuntime_StartOptions * startOptions,bool withAnimation","AbilityRuntime_ErrorCode OH_AbilityRuntime_SetStartOptionsWithAnimation(AbilityRuntime_StartOptions *,bool)"
include/BasicServicesKit/oh_commonevent.h,695,OH_CommonEvent_AbortCommonEvent,bool,CommonEvent_Subscriber * subscriber,bool OH_CommonEvent_AbortCommonEvent(CommonEvent_Subscriber *)
include/BasicServicesKit/oh_commonevent.h,704,OH_CommonEvent_ClearAbortCommonEvent,bool,CommonEvent_Subscriber * subscriber,bool OH_CommonEvent_ClearAbortCommonEvent(CommonEvent_Subscriber *)
include/BasicServicesKit/oh_commonevent.h,353,OH_CommonEvent_CreateParameters,CommonEvent_Parameters *,void,CommonEvent_Parameters * OH_CommonEvent_CreateParameters(void)
include/BasicServicesKit/oh_commonevent.h,272,OH_CommonEvent_CreatePublishInfo,CommonEvent_PublishInfo *,bool ordered,CommonEvent_PublishInfo * OH_CommonEvent_CreatePublishInfo(bool)
include/BasicServicesKit/oh_commonevent.h,139,OH_CommonEvent_CreateSubscribeInfo,CommonEvent_SubscribeInfo *,"const char * events[],int32_t eventsNum","CommonEvent_SubscribeInfo * OH_CommonEvent_CreateSubscribeInfo(const char * events[],int32_t)"
include/BasicServicesKit/oh_commonevent.h,181,OH_CommonEvent_CreateSubscriber,CommonEvent_Subscriber *,"const CommonEvent_SubscribeInfo * info,CommonEvent_ReceiveCallback callback","CommonEvent_Subscriber * OH_CommonEvent_CreateSubscriber(const CommonEvent_SubscribeInfo *,CommonEvent_ReceiveCallback)"
include/BasicServicesKit/oh_commonevent.h,361,OH_CommonEvent_DestroyParameters,void,CommonEvent_Parameters * param,void OH_CommonEvent_DestroyParameters(CommonEvent_Parameters *)
include/BasicServicesKit/oh_commonevent.h,280,OH_CommonEvent_DestroyPublishInfo,void,CommonEvent_PublishInfo * info,void OH_CommonEvent_DestroyPublishInfo(CommonEvent_PublishInfo *)
