source_package,declaration,status,target_package,target_declaration
platform.basic,ARKUI_CLIP_TYPE_ELLIPSE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CLIP_TYPE_PATH,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CLIP_TYPE_RECTANGLE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_COLOR_MODE_DARK,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_COLOR_MODE_LIGHT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_COLOR_MODE_SYSTEM,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_COLOR_STRATEGY_AVERAGE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_COLOR_STRATEGY_INVERT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_COLOR_STRATEGY_PRIMARY,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_COPY_OPTIONS_CROSS_DEVICE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_COPY_OPTIONS_IN_APP,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_COPY_OPTIONS_LOCAL_DEVICE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_COPY_OPTIONS_NONE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CURVE_EASE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CURVE_EASE_IN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CURVE_EASE_IN_OUT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CURVE_EASE_OUT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CURVE_EXTREME_DECELERATION,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CURVE_FAST_OUT_LINEAR_IN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CURVE_FAST_OUT_SLOW_IN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CURVE_FRICTION,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CURVE_LINEAR,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CURVE_LINEAR_OUT_SLOW_IN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CURVE_RHYTHM,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CURVE_SHARP,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_CURVE_SMOOTH,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_DIRECTION_AUTO,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_DIRECTION_LTR,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_DIRECTION_RTL,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_DRAG_PREVIEW_SCALE_AUTO,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_DRAG_PREVIEW_SCALE_DISABLED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_DRAG_RESULT_CANCELED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_DRAG_RESULT_FAILED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_DRAG_RESULT_SUCCESSFUL,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_DRAG_STATUS_ENDED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_DRAG_STATUS_STARTED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_DRAG_STATUS_UNKNOWN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_DROP_OPERATION_COPY,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_DROP_OPERATION_MOVE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_EDGE_EFFECT_FADE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_EDGE_EFFECT_NONE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_EDGE_EFFECT_SPRING,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ELLIPSIS_MODE_CENTER,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ELLIPSIS_MODE_END,mapped,platform.ArkUI.ArkUI_NativeModule,
