file_path,line_no,function_name,return_type,parameter_types,full_signature
BasicServicesKit/ohscan.h,174,OH_Scan_StartScannerDiscovery,int32_t,Scan_ScannerDiscoveryCallback callback,int32_t OH_Scan_StartScannerDiscovery(Scan_ScannerDiscoveryCallback)
BasicServicesKit/os_account.h,56,OH_OsAccount_GetName,OsAccount_ErrCode,"char * buffer,size_t buffer_size","OsAccount_ErrCode OH_OsAccount_GetName(char *,size_t)"
BasicServicesKit/time_service.h,72,OH_TimeService_GetTimeZone,TimeService_ErrCode,"char * timeZone,uint32_t len","TimeService_ErrCode OH_TimeService_GetTimeZone(char *,uint32_t)"
ConnectivityKit/bluetooth/oh_bluetooth.h,90,OH_Bluetooth_GetBluetoothSwitchState,Bluetooth_ResultCode,Bluetooth_SwitchState * state,Bluetooth_ResultCode OH_Bluetooth_GetBluetoothSwitchState(Bluetooth_SwitchState *)
ConnectivityKit/wifi/oh_wifi.h,84,OH_Wifi_IsWifiEnabled,Wifi_ResultCode,bool * enabled,Wifi_ResultCode OH_Wifi_IsWifiEnabled(bool *)
CryptoArchitectureKit/crypto_asym_key.h,193,OH_CryptoAsymKeyGenerator_Convert,OH_Crypto_ErrCode,"OH_CryptoAsymKeyGenerator * ctx,Crypto_EncodingType type,Crypto_DataBlob * pubKeyData,Crypto_DataBlob * priKeyData,OH_CryptoKeyPair ** keyCtx","OH_Crypto_ErrCode OH_CryptoAsymKeyGenerator_Convert(OH_CryptoAsymKeyGenerator *,Crypto_EncodingType,Crypto_DataBlob *,Crypto_DataBlob *,OH_CryptoKeyPair **)"
CryptoArchitectureKit/crypto_asym_key.h,162,OH_CryptoAsymKeyGenerator_Create,OH_Crypto_ErrCode,"const char * algoName,OH_CryptoAsymKeyGenerator ** ctx","OH_Crypto_ErrCode OH_CryptoAsymKeyGenerator_Create(const char *,OH_CryptoAsymKeyGenerator **)"
CryptoArchitectureKit/crypto_asym_key.h,211,OH_CryptoAsymKeyGenerator_Destroy,void,OH_CryptoAsymKeyGenerator * ctx,void OH_CryptoAsymKeyGenerator_Destroy(OH_CryptoAsymKeyGenerator *)
CryptoArchitectureKit/crypto_asym_key.h,176,OH_CryptoAsymKeyGenerator_Generate,OH_Crypto_ErrCode,"OH_CryptoAsymKeyGenerator * ctx,OH_CryptoKeyPair ** keyCtx","OH_Crypto_ErrCode OH_CryptoAsymKeyGenerator_Generate(OH_CryptoAsymKeyGenerator *,OH_CryptoKeyPair **)"
CryptoArchitectureKit/crypto_asym_key.h,203,OH_CryptoAsymKeyGenerator_GetAlgoName,const char *,OH_CryptoAsymKeyGenerator * ctx,const char * OH_CryptoAsymKeyGenerator_GetAlgoName(OH_CryptoAsymKeyGenerator *)
CryptoArchitectureKit/crypto_asym_key.h,219,OH_CryptoKeyPair_Destroy,void,OH_CryptoKeyPair * keyCtx,void OH_CryptoKeyPair_Destroy(OH_CryptoKeyPair *)
CryptoArchitectureKit/crypto_asym_key.h,228,OH_CryptoKeyPair_GetPubKey,OH_CryptoPubKey *,OH_CryptoKeyPair * keyCtx,OH_CryptoPubKey * OH_CryptoKeyPair_GetPubKey(OH_CryptoKeyPair *)
CryptoArchitectureKit/crypto_asym_key.h,244,OH_CryptoPubKey_Encode,OH_Crypto_ErrCode,"OH_CryptoPubKey * key,Crypto_EncodingType type,const char * encodingStandard,Crypto_DataBlob * out","OH_Crypto_ErrCode OH_CryptoPubKey_Encode(OH_CryptoPubKey *,Crypto_EncodingType,const char *,Crypto_DataBlob *)"
CryptoArchitectureKit/crypto_asym_key.h,260,OH_CryptoPubKey_GetParam,OH_Crypto_ErrCode,"OH_CryptoPubKey * key,CryptoAsymKey_ParamType item,Crypto_DataBlob * value","OH_Crypto_ErrCode OH_CryptoPubKey_GetParam(OH_CryptoPubKey *,CryptoAsymKey_ParamType,Crypto_DataBlob *)"
CryptoArchitectureKit/crypto_common.h,94,OH_Crypto_FreeDataBlob,void,Crypto_DataBlob * dataBlob,void OH_Crypto_FreeDataBlob(Crypto_DataBlob *)
CryptoArchitectureKit/crypto_digest.h,64,OH_CryptoDigest_Create,OH_Crypto_ErrCode,"const char * algoName,OH_CryptoDigest ** ctx","OH_Crypto_ErrCode OH_CryptoDigest_Create(const char *,OH_CryptoDigest **)"
CryptoArchitectureKit/crypto_digest.h,94,OH_CryptoDigest_Final,OH_Crypto_ErrCode,"OH_CryptoDigest * ctx,Crypto_DataBlob * out","OH_Crypto_ErrCode OH_CryptoDigest_Final(OH_CryptoDigest *,Crypto_DataBlob *)"
CryptoArchitectureKit/crypto_digest.h,116,OH_CryptoDigest_GetAlgoName,const char *,OH_CryptoDigest * ctx,const char * OH_CryptoDigest_GetAlgoName(OH_CryptoDigest *)
CryptoArchitectureKit/crypto_digest.h,107,OH_CryptoDigest_GetLength,uint32_t,OH_CryptoDigest * ctx,uint32_t OH_CryptoDigest_GetLength(OH_CryptoDigest *)
CryptoArchitectureKit/crypto_digest.h,79,OH_CryptoDigest_Update,OH_Crypto_ErrCode,"OH_CryptoDigest * ctx,Crypto_DataBlob * in","OH_Crypto_ErrCode OH_CryptoDigest_Update(OH_CryptoDigest *,Crypto_DataBlob *)"
CryptoArchitectureKit/crypto_digest.h,129,OH_DigestCrypto_Destroy,void,OH_CryptoDigest * ctx,void OH_DigestCrypto_Destroy(OH_CryptoDigest *)
CryptoArchitectureKit/crypto_signature.h,86,OH_CryptoVerify_Create,OH_Crypto_ErrCode,"const char * algoName,OH_CryptoVerify ** verify","OH_Crypto_ErrCode OH_CryptoVerify_Create(const char *,OH_CryptoVerify **)"
CryptoArchitectureKit/crypto_signature.h,196,OH_CryptoVerify_Destroy,void,OH_CryptoVerify * ctx,void OH_CryptoVerify_Destroy(OH_CryptoVerify *)
CryptoArchitectureKit/crypto_signature.h,131,OH_CryptoVerify_Final,bool,"OH_CryptoVerify * ctx,Crypto_DataBlob * in,Crypto_DataBlob * signData","bool OH_CryptoVerify_Final(OH_CryptoVerify *,Crypto_DataBlob *,Crypto_DataBlob *)"
CryptoArchitectureKit/crypto_signature.h,156,OH_CryptoVerify_GetAlgoName,const char *,OH_CryptoVerify * ctx,const char * OH_CryptoVerify_GetAlgoName(OH_CryptoVerify *)
CryptoArchitectureKit/crypto_signature.h,187,OH_CryptoVerify_GetParam,OH_Crypto_ErrCode,"OH_CryptoVerify * ctx,CryptoSignature_ParamType type,Crypto_DataBlob * value","OH_Crypto_ErrCode OH_CryptoVerify_GetParam(OH_CryptoVerify *,CryptoSignature_ParamType,Crypto_DataBlob *)"
CryptoArchitectureKit/crypto_signature.h,102,OH_CryptoVerify_Init,OH_Crypto_ErrCode,"OH_CryptoVerify * ctx,OH_CryptoPubKey * pubKey","OH_Crypto_ErrCode OH_CryptoVerify_Init(OH_CryptoVerify *,OH_CryptoPubKey *)"
CryptoArchitectureKit/crypto_signature.h,146,OH_CryptoVerify_Recover,OH_Crypto_ErrCode,"OH_CryptoVerify * ctx,Crypto_DataBlob * signData,Crypto_DataBlob * rawSignData","OH_Crypto_ErrCode OH_CryptoVerify_Recover(OH_CryptoVerify *,Crypto_DataBlob *,Crypto_DataBlob *)"
CryptoArchitectureKit/crypto_signature.h,171,OH_CryptoVerify_SetParam,OH_Crypto_ErrCode,"OH_CryptoVerify * ctx,CryptoSignature_ParamType type,Crypto_DataBlob * value","OH_Crypto_ErrCode OH_CryptoVerify_SetParam(OH_CryptoVerify *,CryptoSignature_ParamType,Crypto_DataBlob *)"
CryptoArchitectureKit/crypto_signature.h,118,OH_CryptoVerify_Update,OH_Crypto_ErrCode,"OH_CryptoVerify * ctx,Crypto_DataBlob * in","OH_Crypto_ErrCode OH_CryptoVerify_Update(OH_CryptoVerify *,Crypto_DataBlob *)"
CryptoArchitectureKit/crypto_sym_cipher.h,86,OH_CryptoSymCipherParams_Create,OH_Crypto_ErrCode,OH_CryptoSymCipherParams ** params,OH_Crypto_ErrCode OH_CryptoSymCipherParams_Create(OH_CryptoSymCipherParams **)
CryptoArchitectureKit/crypto_sym_cipher.h,110,OH_CryptoSymCipherParams_Destroy,void,OH_CryptoSymCipherParams * params,void OH_CryptoSymCipherParams_Destroy(OH_CryptoSymCipherParams *)
CryptoArchitectureKit/crypto_sym_cipher.h,101,OH_CryptoSymCipherParams_SetParam,OH_Crypto_ErrCode,"OH_CryptoSymCipherParams * params,CryptoSymCipher_ParamsType paramsType,Crypto_DataBlob * value","OH_Crypto_ErrCode OH_CryptoSymCipherParams_SetParam(OH_CryptoSymCipherParams *,CryptoSymCipher_ParamsType,Crypto_DataBlob *)"
